,movie_id,averagerating,numvotes,primary_title,original_title,start_year,runtime_minutes,genres,ordering,title,region,language,types,attributes,is_original_title,id,release_date,production_budget,domestic_gross_movie_budgets,worldwide_gross_movie_budgets
199,tt1517177,6.7,4722,3,3,2010,119.0,"Comedy,Drama,Romance",20,3,US,,imdbDisplay,,0.0,85,"Sep 16, 2011","$7,200,000","$59,774","$295,492"
200,tt5618160,3.9,166,3,3,2018,80.0,"Horror,Mystery,Thriller",2,3,US,,alternative,,0.0,85,"Sep 16, 2011","$7,200,000","$59,774","$295,492"
1637,tt1306980,7.7,300475,50/50,50/50,2011,100.0,"Comedy,Drama,Romance",10,5050,US,,working,,0.0,73,"Sep 30, 2011","$8,000,000","$35,016,118","$41,334,735"
1638,tt4487264,9.0,10,50 50,50 50,2016,51.0,Documentary,1,5050,US,,,,0.0,73,"Sep 30, 2011","$8,000,000","$35,016,118","$41,334,735"
216,tt7867360,6.1,1592,Abduction,Abduction,2019,106.0,"Action,Sci-Fi",2,abduction,US,,imdbDisplay,,0.0,96,"Sep 23, 2011","$35,000,000","$28,087,155","$86,648,359"
217,tt1600195,5.1,72552,Abduction,Abduction,2011,106.0,"Action,Mystery,Thriller",2,abduction,US,,,,0.0,96,"Sep 23, 2011","$35,000,000","$28,087,155","$86,648,359"
218,tt2447982,5.2,10,Abduction,Abduction,2011,84.0,"Horror,Thriller",1,abduction,US,,,,0.0,96,"Sep 23, 2011","$35,000,000","$28,087,155","$86,648,359"
949,tt3587066,7.2,25,ADDicted,ADDicted,2017,109.0,Drama,1,addicted,US,,,,0.0,96,"Oct 10, 2014","$5,000,000","$17,390,770","$17,499,242"
948,tt2205401,5.2,7640,Addicted,Addicted,2014,106.0,"Drama,Thriller",8,addicted,US,,,,0.0,96,"Oct 10, 2014","$5,000,000","$17,390,770","$17,499,242"
346,tt1147681,4.7,129,After,After,2014,99.0,"Drama,Mystery",2,after,US,,,,0.0,2,"Dec 31, 2012","$650,000",$0,$0
345,tt1799508,5.5,4881,After,After,2012,90.0,"Drama,Fantasy,Mystery",4,after,US,,,,0.0,2,"Dec 31, 2012","$650,000",$0,$0
344,tt4126476,5.6,7699,After,After,2019,105.0,"Drama,Romance",8,after,US,,imdbDisplay,,0.0,2,"Dec 31, 2012","$650,000",$0,$0
1070,tt6139732,7.4,57549,Aladdin,Aladdin,2019,128.0,"Adventure,Comedy,Family",13,aladdin,US,,imdbDisplay,,0.0,33,"Nov 11, 1992","$28,000,000","$217,350,219","$504,050,219"
1069,tt6139732,7.4,57549,Aladdin,Aladdin,2019,128.0,"Adventure,Comedy,Family",13,aladdin,US,,imdbDisplay,,0.0,81,"May 24, 2019","$182,000,000","$246,734,314","$619,234,314"
476,tt1014759,6.5,358813,Alice in Wonderland,Alice in Wonderland,2010,108.0,"Adventure,Family,Fantasy",23,aliceinwonderland,US,,,IMAX version,0.0,60,"Jul 28, 1951","$3,000,000",$0,$0
477,tt2049386,6.5,6,Alice in Wonderland,Alice in Wonderland,2010,99.0,"Fantasy,Musical",1,aliceinwonderland,US,,,,0.0,51,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110"
478,tt2049386,6.5,6,Alice in Wonderland,Alice in Wonderland,2010,99.0,"Fantasy,Musical",1,aliceinwonderland,US,,,,0.0,60,"Jul 28, 1951","$3,000,000",$0,$0
475,tt1014759,6.5,358813,Alice in Wonderland,Alice in Wonderland,2010,108.0,"Adventure,Family,Fantasy",23,aliceinwonderland,US,,,IMAX version,0.0,51,"Mar 5, 2010","$200,000,000","$334,191,110","$1,025,491,110"
103,tt1179056,5.2,85497,A Nightmare on Elm Street,A Nightmare on Elm Street,2010,95.0,"Crime,Drama,Horror",19,anightmareonelmstreet,US,,working,,0.0,49,"Apr 30, 2010","$35,000,000","$63,075,011","$117,729,621"
104,tt1179056,5.2,85497,A Nightmare on Elm Street,A Nightmare on Elm Street,2010,95.0,"Crime,Drama,Horror",19,anightmareonelmstreet,US,,working,,0.0,17,"Nov 9, 1984","$1,800,000","$25,504,513","$25,504,513"
67,tt4898888,6.3,285,Anna,Per amor vostro,2015,110.0,Drama,7,anna,US,,festival,,0.0,64,"Jun 6, 2014","$4,357,373",$0,"$1,200,000"
66,tt6427854,2.4,341,Anna,Anna,2017,97.0,Horror,1,anna,US,,,,0.0,64,"Jun 6, 2014","$4,357,373",$0,"$1,200,000"
65,tt1715336,6.5,19733,Anna,Anna,2013,99.0,"Drama,Mystery,Sci-Fi",5,anna,US,,working,,0.0,64,"Jun 6, 2014","$4,357,373",$0,"$1,200,000"
1188,tt1533013,6.6,6058,Beautiful Boy,Beautiful Boy,2010,100.0,Drama,1,beautifulboy,US,,,,0.0,95,"Oct 12, 2018","$25,000,000","$7,634,767","$13,031,424"
